iter	RMSE
0	11213.11131
1	10427.8388
2	9769.143698
3	9179.834536
4	8586.67018
5	8106.285816
6	7602.91173
7	7170.874299
8	6822.535909
9	6481.249466
10	6204.104494
11	5960.805376
12	5755.818499
13	5573.16954
14	5405.244568
15	5255.611129
16	5138.315944
17	5024.822844
18	4940.391088
19	4862.45425
20	4786.730832
21	4724.003001
22	4677.551207
23	4632.549431
24	4603.004641
25	4573.853134
26	4534.336033
27	4496.352333
28	4475.286774
29	4448.074619
30	4426.658365
31	4405.150095
32	4385.907603
33	4361.320677
34	4345.993627
35	4329.500668
36	4314.599448
37	4298.725671
38	4288.43025
39	4269.588592
40	4247.500745
41	4234.491383
42	4227.429787
43	4223.880576
44	4214.818637
45	4201.862517
46	4192.706253
47	4179.414419
48	4170.075872
49	4160.551539
50	4150.759533
51	4141.723078
52	4132.84299
53	4123.936183
54	4117.015853
55	4103.736519
56	4099.67221
57	4098.99622
58	4094.665591
59	4089.952472
60	4082.564399
61	4080.849957
62	4071.32313
63	4064.230663
64	4055.340525
65	4048.389198
66	4035.65471
67	4021.448627
68	4013.89
69	4010.939035
70	3997.767276
71	3992.623684
72	3985.41658
73	3984.699917
74	3981.447135
75	3975.71163
76	3963.745885
77	3956.520891
78	3943.075085
79	3933.701083
80	3928.741712
81	3927.64385
82	3924.752321
83	3917.434449
84	3912.620103
85	3903.952736
86	3898.305246
87	3887.357715
88	3881.524896
89	3875.507768
90	3870.515585
91	3866.92978
92	3861.391151
93	3848.674068
94	3842.166369
95	3838.850738
96	3830.763948
97	3823.752215
98	3815.322289
99	3812.945925
100	3806.40315
101	3805.264629
102	3800.028463
103	3793.429383
104	3785.326898
105	3782.47979
106	3775.279077
107	3769.894777
108	3764.830939
109	3762.003388
110	3758.080016
111	3753.151391
112	3747.944403
113	3745.515063
114	3742.103058
115	3739.353464
116	3728.97929
117	3721.625033
118	3715.061716
119	3706.930182
120	3700.287589
121	3698.801023
122	3697.423871
123	3694.15591
124	3692.29748
125	3683.299773
126	3681.428582
127	3680.385871
128	3675.526602
129	3672.501631
130	3663.742309
131	3660.843833
132	3656.429682
133	3654.062813
134	3645.473159
135	3644.063562
136	3639.122162
137	3628.7445
138	3625.710714
139	3618.678743
140	3614.438317
141	3610.866543
142	3608.845144
143	3606.571653
144	3600.729993
145	3594.519095
146	3590.214578
147	3582.459251
148	3579.276077
149	3573.362312
150	3570.730508
151	3562.870895
152	3557.713997
153	3550.468443
154	3544.462412
155	3539.818892
156	3535.482138
157	3530.164562
158	3526.129553
159	3519.235868
160	3517.596985
161	3512.99608
162	3507.431657
163	3502.501756
164	3498.718404
165	3493.908604
166	3490.573113
167	3484.660624
168	3478.037861
169	3473.27596
170	3470.05778
171	3468.136536
172	3463.50441
173	3456.044634
174	3455.176701
175	3452.176181
176	3449.318737
177	3446.694701
178	3444.623782
179	3440.379389
180	3438.726512
181	3431.466011
182	3425.095117
183	3419.772841
184	3415.937117
185	3412.188841
186	3400.995882
187	3400.230463
188	3397.051611
189	3393.300296
190	3388.675298
191	3383.713559
192	3380.470866
193	3379.585628
194	3375.849163
195	3371.750492
196	3368.364186
197	3364.993903
198	3362.153683
199	3356.062757
200	3354.250821
201	3348.845102
202	3347.051533
203	3346.501896
204	3342.198304
205	3339.088944
206	3337.5108
207	3335.708073
208	3331.739916
209	3324.72753
210	3316.848289
211	3312.186465
212	3311.64934
213	3302.526809
214	3297.762756
215	3295.422076
216	3284.067618
217	3280.608284
218	3274.326788
219	3269.215866
220	3261.830118
221	3256.712833
222	3255.869558
223	3253.155174
224	3247.85539
225	3247.066194
226	3243.342043
227	3242.251301
228	3236.69045
229	3230.67993
230	3226.760132
231	3225.598233
232	3219.494595
233	3209.036642
234	3205.165421
235	3201.809733
236	3196.642287
237	3193.62312
238	3193.133965
239	3190.378955
240	3186.843642
241	3184.339602
242	3181.300762
243	3178.440897
244	3173.616685
245	3168.235046
246	3166.564097
247	3160.046999
248	3155.900003
249	3149.158719
250	3143.505062
251	3139.620588
252	3138.427896
253	3132.4694
254	3130.225085
255	3126.681756
256	3119.316587
257	3114.017375
258	3110.824901
259	3108.453968
260	3106.11209
261	3099.068151
262	3097.659638
263	3092.647525
264	3091.206983
265	3089.879799
266	3084.848926
267	3083.431351
268	3081.788115
269	3079.801288
270	3077.071617
271	3069.757641
272	3063.38956
273	3059.57468
274	3057.692862
275	3054.898396
276	3049.782395
277	3046.70807
278	3040.166535
279	3034.224022
280	3032.389833
281	3027.718665
282	3026.106554
283	3021.781478
284	3016.396312
285	3012.667427
286	3007.56149
287	3006.309286
288	3004.396842
289	3003.344659
290	2996.825197
291	2993.842815
292	2991.613679
293	2990.298967
294	2986.947596
295	2982.704446
296	2977.969354
297	2974.818363
298	2969.376608
299	2967.932125
300	2961.894759
301	2960.224253
302	2956.778731
303	2955.654967
304	2953.095276
305	2949.342707
306	2946.705085
307	2944.834492
308	2942.930773
309	2939.104479
310	2933.905694
311	2932.745594
312	2931.6501
313	2927.743131
314	2923.133245
315	2920.494048
316	2916.516554
317	2912.948125
318	2912.648898
319	2908.69996
320	2904.726494
321	2899.308683
322	2899.054804
323	2896.723926
324	2893.822389
325	2887.922465
326	2882.718456
327	2880.389109
328	2878.391085
329	2877.275366
330	2874.441029
331	2873.699548
332	2872.060906
333	2870.398579
334	2868.793274
335	2866.280927
336	2862.926948
337	2857.663215
338	2852.663084
339	2849.149985
340	2845.508944
341	2844.198049
342	2843.26544
343	2839.048617
344	2834.048382
345	2830.108537
346	2828.214312
347	2826.171033
348	2823.739988
349	2820.950036
350	2818.760801
351	2815.688541
352	2813.213198
353	2810.114258
354	2806.012097
355	2803.173747
356	2801.894279
357	2799.700918
358	2796.163417
359	2791.680249
360	2783.6866
361	2782.167014
362	2781.471567
363	2778.854881
364	2775.289232
365	2772.022232
366	2766.593539
367	2762.60776
368	2760.64544
369	2757.720291
370	2755.540724
371	2753.255469
372	2751.104281
373	2749.780665
374	2748.940289
375	2746.532946
376	2743.049236
377	2741.880687
378	2740.765097
379	2736.872488
380	2735.021672
381	2734.160858
382	2732.996986
383	2731.50636
384	2731.352021
385	2730.280471
386	2728.556108
387	2723.27566
388	2720.652845
389	2718.390769
390	2713.625899
391	2710.08205
392	2707.048544
393	2700.314788
394	2695.625627
395	2691.58534
396	2688.537854
397	2687.511501
398	2687.299658
399	2685.410231
400	2683.040253
401	2677.712805
402	2676.424651
403	2675.94702
404	2671.359072
405	2669.280936
406	2666.924199
407	2663.284743
408	2659.459753
409	2656.856747
410	2655.929857
411	2654.955605
412	2650.591769
413	2646.449285
414	2644.982898
415	2642.562401
416	2636.444618
417	2634.727726
418	2630.969106
419	2628.10765
420	2625.008802
421	2620.212189
422	2618.821451
423	2617.173935
424	2611.717454
425	2609.940888
426	2607.377179
427	2604.432705
428	2602.824042
429	2601.116147
430	2599.348585
431	2593.768544
432	2590.457355
433	2584.738462
434	2581.874957
435	2579.475028
436	2575.267489
437	2572.699569
438	2571.25252
439	2570.750576
440	2566.687174
441	2563.440942
442	2559.368036
443	2556.635626
444	2553.607364
445	2550.487443
446	2549.605895
447	2548.459858
448	2546.327662
449	2543.767854
450	2542.859826
451	2539.323512
452	2538.598056
453	2536.108438
454	2533.509992
455	2530.953895
456	2528.64062
457	2526.495772
458	2522.668128
459	2518.339541
460	2516.913369
461	2514.549583
462	2513.887154
463	2508.338589
464	2505.375708
465	2503.595442
466	2502.241777
467	2500.42485
468	2494.603959
469	2489.561191
470	2485.319388
471	2483.935162
472	2480.841745
473	2478.438512
474	2475.551236
475	2473.983096
476	2472.771963
477	2471.587324
478	2469.317466
479	2465.544705
480	2464.666005
481	2460.589617
482	2458.392518
483	2456.004743
484	2454.548827
485	2450.911667
486	2449.730223
487	2448.957527
